,added_at,artist_id,artist_name,duration_ms,explicit,id,name,popularity,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
01Z4XXbApMlFBLLdgibLBp,2018-09-27T19:22:51Z,7cZsqiYF7SFQ0Ni24ly624,Death On The Balcony,495968.0,False,01Z4XXbApMlFBLLdgibLBp,Celestial Stranger,11.0,0.017,0.65,495969.0,0.527,01Z4XXbApMlFBLLdgibLBp,0.791,7.0,0.102,-13.397,1.0,0.0407,121.98,4.0,0.575
01cbb52SrkVOB8VuFaPoGP,2016-04-18T20:07:15Z,3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,253933.0,False,01cbb52SrkVOB8VuFaPoGP,Breakdown,41.0,0.661,0.584,253933.0,0.507,01cbb52SrkVOB8VuFaPoGP,0.00024,0.0,0.838,-11.161,1.0,0.0512,139.695,4.0,0.529
02Z6uQN4D8wADNH4Nvm6Rv,2018-03-23T11:58:55Z,3LRadUVuB9B2iHdArz1l1R,Anastacia Azevedo,205492.0,False,02Z6uQN4D8wADNH4Nvm6Rv,Ideologia,0.0,0.819,0.771,205493.0,0.191,02Z6uQN4D8wADNH4Nvm6Rv,2.37e-06,9.0,0.0951,-9.65,1.0,0.0419,112.522,3.0,0.63
03DRnHbnJdxyXjrIFYsCc3,2018-09-18T19:26:49Z,6hjRjVNLWTCPYci9nxhI1G,Efdemin,316615.0,False,03DRnHbnJdxyXjrIFYsCc3,America,14.0,0.24,0.656,316616.0,0.389,03DRnHbnJdxyXjrIFYsCc3,0.917,6.0,0.0878,-16.676,0.0,0.0393,129.007,4.0,0.254
03WiEOE4jbqIoDGVDc8KBd,2017-06-14T19:49:57Z,50ZyjIaVHOy5Xt7FLJ7RZl,Sam Paganini,354850.0,False,03WiEOE4jbqIoDGVDc8KBd,Daegon,0.0,0.000826,0.803,354850.0,0.85,03WiEOE4jbqIoDGVDc8KBd,0.915,0.0,0.109,-8.625,1.0,0.0476,124.998,4.0,0.479
06AdnlQN7RzXpq3oGSzFhs,2018-03-24T13:27:13Z,48C2RLG6w7o4jAJjCJKZM8,Shigeto,413374.0,False,06AdnlQN7RzXpq3oGSzFhs,There's a Vibe Tonight (ft. Kaleena Zanders),28.0,0.0554,0.788,413375.0,0.632,06AdnlQN7RzXpq3oGSzFhs,0.607,8.0,0.0954,-11.411,1.0,0.0504,123.993,4.0,0.68
08p1rBEe6Acp4BawQDsIqS,2017-08-01T02:27:54Z,1khyIydqanugacJyKdmceT,Moonwalk,483353.0,False,08p1rBEe6Acp4BawQDsIqS,Synchron,0.0,0.000344,0.769,483354.0,0.891,08p1rBEe6Acp4BawQDsIqS,0.917,11.0,0.117,-7.788,1.0,0.0545,119.975,4.0,0.034
08rg4GlXPpz90Zhtav9vSE,2018-10-16T20:24:09Z,7phOvwBANyuRvVKTInnbxJ,Autarkic,339559.0,False,08rg4GlXPpz90Zhtav9vSE,Troubles In The Bay,8.0,0.0128,0.734,339559.0,0.839,08rg4GlXPpz90Zhtav9vSE,0.887,1.0,0.102,-10.693,1.0,0.0649,118.015,4.0,0.906
08sQeMYs2yqBpiWEhJHJwQ,2017-07-06T00:19:39Z,4hjb0ZoPezPJRlGhtPyny0,Koletzki,167080.0,False,08sQeMYs2yqBpiWEhJHJwQ,Stunde Null,0.0,0.0141,0.797,167080.0,0.577,08sQeMYs2yqBpiWEhJHJwQ,0.831,8.0,0.122,-10.545,0.0,0.0435,127.164,4.0,0.153
09OIEZPjj9YsY30vqplfRD,2018-08-02T14:49:14Z,18l5DrXKHLKU3uUQckp63O,Thegust Mc's,234146.0,True,09OIEZPjj9YsY30vqplfRD,Prova Parte de Si,22.0,0.397,0.737,234146.0,0.663,09OIEZPjj9YsY30vqplfRD,0.0,3.0,0.1,-7.093,0.0,0.456,81.903,4.0,0.552
