C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/03/2017,00:00:00,REGULAR,0006203652,0002101226                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/03/2017,04:00:00,REGULAR,0006203674,0002101230                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/03/2017,08:00:00,REGULAR,0006203688,0002101260                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/03/2017,12:00:00,REGULAR,0006203769,0002101343                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/03/2017,16:00:00,REGULAR,0006203987,0002101401                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/03/2017,20:00:00,REGULAR,0006204271,0002101450                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/04/2017,00:00:00,REGULAR,0006204416,0002101475                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/04/2017,04:00:00,REGULAR,0006204432,0002101480                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/04/2017,08:00:00,REGULAR,0006204447,0002101500                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/04/2017,12:00:00,REGULAR,0006204517,0002101569                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/04/2017,16:00:00,REGULAR,0006204723,0002101614                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/04/2017,20:00:00,REGULAR,0006204890,0002101646                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/05/2017,00:00:00,REGULAR,0006204981,0002101663                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/05/2017,04:00:00,REGULAR,0006204994,0002101665                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/05/2017,08:00:00,REGULAR,0006205038,0002101781                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/05/2017,12:00:00,REGULAR,0006205198,0002102059                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/05/2017,16:00:00,REGULAR,0006205483,0002102117                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/05/2017,20:00:00,REGULAR,0006206143,0002102238                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/06/2017,00:00:00,REGULAR,0006206340,0002102270                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/06/2017,04:00:00,REGULAR,0006206360,0002102270                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/06/2017,08:00:00,REGULAR,0006206420,0002102385                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/06/2017,12:00:00,REGULAR,0006206674,0002102638                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/06/2017,16:00:00,REGULAR,0006207083,0002102713                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/06/2017,20:00:00,REGULAR,0006207902,0002102781                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/07/2017,00:00:00,REGULAR,0006208121,0002102808                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/07/2017,04:00:00,REGULAR,0006208137,0002102810                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/07/2017,08:00:00,REGULAR,0006208207,0002102932                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/07/2017,12:00:00,REGULAR,0006208433,0002103186                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/07/2017,16:00:00,REGULAR,0006208902,0002103262                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/07/2017,20:00:00,REGULAR,0006210102,0002103320                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/08/2017,00:00:00,REGULAR,0006210482,0002103336                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/08/2017,04:00:00,REGULAR,0006210520,0002103342                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/08/2017,08:00:00,REGULAR,0006210588,0002103430                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/08/2017,12:00:00,REGULAR,0006210859,0002103657                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/08/2017,16:00:00,REGULAR,0006211354,0002103715                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/08/2017,20:00:00,REGULAR,0006212553,0002103765                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/09/2017,00:00:00,REGULAR,0006212887,0002103788                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/09/2017,04:00:00,REGULAR,0006212920,0002103791                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/09/2017,08:00:00,REGULAR,0006212982,0002103914                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/09/2017,12:00:00,REGULAR,0006213246,0002104174                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/09/2017,16:00:00,REGULAR,0006213803,0002104230                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/09/2017,20:00:00,REGULAR,0006214953,0002104273                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/03/2017,00:00:00,REGULAR,0005612344,0001245019                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/03/2017,04:00:00,REGULAR,0005612363,0001245024                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/03/2017,08:00:00,REGULAR,0005612372,0001245043                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/03/2017,12:00:00,REGULAR,0005612440,0001245098                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/03/2017,16:00:00,REGULAR,0005612605,0001245143                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/03/2017,20:00:00,REGULAR,0005612863,0001245175                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/04/2017,00:00:00,REGULAR,0005612970,0001245186                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/04/2017,04:00:00,REGULAR,0005612980,0001245190                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/04/2017,08:00:00,REGULAR,0005612987,0001245198                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/04/2017,12:00:00,REGULAR,0005613040,0001245228                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/04/2017,16:00:00,REGULAR,0005613225,0001245259                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/04/2017,20:00:00,REGULAR,0005613398,0001245303                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/05/2017,00:00:00,REGULAR,0005613460,0001245315                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/05/2017,04:00:00,REGULAR,0005613469,0001245317                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/05/2017,08:00:00,REGULAR,0005613498,0001245376                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/05/2017,12:00:00,REGULAR,0005613634,0001245513                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/05/2017,16:00:00,REGULAR,0005613866,0001245572                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/05/2017,20:00:00,REGULAR,0005614507,0001245685                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/06/2017,00:00:00,REGULAR,0005614657,0001245701                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/06/2017,04:00:00,REGULAR,0005614660,0001245704                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/06/2017,08:00:00,REGULAR,0005614661,0001245763                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/06/2017,12:00:00,REGULAR,0005614661,0001245916                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/06/2017,16:00:00,REGULAR,0005614718,0001245965                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/06/2017,20:00:00,REGULAR,0005615365,0001246023                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,00:00:00,REGULAR,0005615524,0001246049                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,04:00:00,REGULAR,0005615526,0001246056                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,08:00:00,REGULAR,0005615544,0001246120                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,12:00:00,REGULAR,0005615545,0001246265                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,16:00:00,REGULAR,0005615545,0001246316                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,20:00:00,REGULAR,0005615545,0001246376                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/08/2017,00:00:00,REGULAR,0005615545,0001246400                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/08/2017,04:00:00,REGULAR,0005615545,0001246406                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/08/2017,08:00:00,REGULAR,0005615545,0001246466                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/08/2017,12:00:00,REGULAR,0005615545,0001246595                                            
